         18x7WP                   (18x7WP.dat)                                                                                                                                      
         v2024-0915                                                                                                                                                                 
         Simulation Date: 11/12/2024                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        2.90      0.1703      0.3365      0.0596      0.0302       0.005       0.289       0.199       3.420       0.033       0.887      26.447        0.07      38698.    0.3850  
        3.22      0.1892      0.3621      0.0572      0.0299       0.005       0.287       0.191       3.390       0.032       0.851      25.615        0.07      38730.    0.3653  
        3.55      0.2081      0.3853      0.0548      0.0296       0.004       0.283       0.183       3.353       0.032       0.815      24.775        0.07      38764.    0.3457  
        3.87      0.2270      0.4059      0.0522      0.0292       0.004       0.280       0.175       3.311       0.032       0.777      23.927        0.07      38799.    0.3260  
        4.19      0.2459      0.4239      0.0496      0.0288       0.004       0.276       0.166       3.262       0.031       0.738      23.067        0.07      38835.    0.3063  
        4.51      0.2649      0.4392      0.0469      0.0283       0.004       0.271       0.157       3.207       0.031       0.698      22.193        0.07      38874.    0.2866  
        4.84      0.2838      0.4517      0.0441      0.0277       0.004       0.266       0.148       3.144       0.030       0.657      21.301        0.07      38913.    0.2668  
        5.16      0.3027      0.4611      0.0413      0.0271       0.004       0.260       0.138       3.075       0.029       0.615      20.387        0.07      38955.    0.2471  
        5.48      0.3216      0.4673      0.0384      0.0264       0.004       0.253       0.129       2.998       0.029       0.572      19.445        0.07      38998.    0.2273  
        5.80      0.3405      0.4700      0.0355      0.0257       0.004       0.246       0.119       2.914       0.028       0.528      18.470        0.07      39044.    0.2074  
        6.13      0.3595      0.4688      0.0325      0.0249       0.004       0.238       0.109       2.821       0.027       0.483      17.453        0.07      39091.    0.1875  
        6.45      0.3784      0.4633      0.0294      0.0240       0.004       0.230       0.098       2.721       0.026       0.437      16.385        0.07      39139.    0.1675  
        6.77      0.3973      0.4528      0.0263      0.0230       0.004       0.221       0.088       2.613       0.025       0.391      15.252        0.07      39190.    0.1474  
        7.09      0.4162      0.4366      0.0231      0.0220       0.003       0.211       0.077       2.496       0.024       0.344      14.038        0.07      39242.    0.1272  
        7.42      0.4351      0.4137      0.0199      0.0209       0.003       0.200       0.067       2.371       0.023       0.296      12.723        0.07      39297.    0.1070  
        7.74      0.4540      0.3826      0.0166      0.0197       0.003       0.189       0.056       2.238       0.021       0.248      11.277        0.07      39353.    0.0867  
        8.06      0.4730      0.3416      0.0134      0.0185       0.003       0.177       0.045       2.097       0.020       0.199       9.664        0.07      39411.    0.0666  
        8.38      0.4919      0.2878      0.0100      0.0172       0.003       0.165       0.034       1.947       0.019       0.150       7.831        0.07      39471.    0.0468  
        8.71      0.5108      0.2177      0.0067      0.0158       0.002       0.151       0.022       1.789       0.017       0.100       5.702        0.07      39532.    0.0279  
        9.03      0.5297      0.1253      0.0034      0.0143       0.002       0.137       0.011       1.622       0.015       0.050       3.165        0.07      39596.    0.0110  
        9.35      0.5486      0.0013      0.0000      0.0128       0.002       0.122       0.000       1.448       0.014       0.000       0.031        0.07      39659.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0777      0.0270       0.033       1.035       1.040      24.479       0.117       4.624      19.263        0.14      76949.    0.6402  
        0.66      0.0193      0.0543      0.0760      0.0271       0.033       1.039       1.017      24.582       0.117       4.525      18.772        0.14      76990.    0.6172  
        1.32      0.0387      0.1057      0.0743      0.0272       0.033       1.042       0.994      24.659       0.118       4.421      18.283        0.14      77032.    0.5942  
        1.98      0.0580      0.1543      0.0724      0.0272       0.033       1.044       0.969      24.706       0.118       4.312      17.798        0.14      77078.    0.5712  
        2.64      0.0774      0.2002      0.0705      0.0273       0.033       1.045       0.944      24.720       0.118       4.197      17.315        0.14      77126.    0.5483  
        3.30      0.0967      0.2433      0.0685      0.0272       0.033       1.044       0.917      24.697       0.118       4.077      16.835        0.14      77176.    0.5254  
        3.96      0.1160      0.2837      0.0664      0.0272       0.033       1.041       0.888      24.634       0.118       3.952      16.359        0.14      77230.    0.5026  
        4.62      0.1354      0.3214      0.0642      0.0270       0.033       1.037       0.859      24.528       0.117       3.821      15.885        0.14      77287.    0.4800  
        5.27      0.1547      0.3564      0.0619      0.0269       0.033       1.030       0.828      24.378       0.116       3.685      15.414        0.14      77346.    0.4574  
        5.93      0.1741      0.3888      0.0595      0.0267       0.032       1.022       0.797      24.179       0.115       3.544      14.945        0.14      77409.    0.4349  
        6.59      0.1934      0.4185      0.0571      0.0264       0.032       1.011       0.764      23.931       0.114       3.398      14.477        0.14      77475.    0.4125  
        7.25      0.2127      0.4454      0.0545      0.0260       0.032       0.999       0.730      23.630       0.113       3.246      14.010        0.14      77544.    0.3902  
        7.91      0.2321      0.4697      0.0519      0.0257       0.031       0.984       0.695      23.274       0.111       3.091      13.541        0.14      77616.    0.3679  
        8.57      0.2514      0.4911      0.0492      0.0252       0.031       0.966       0.659      22.860       0.109       2.930      13.070        0.14      77692.    0.3458  
        9.23      0.2708      0.5097      0.0465      0.0247       0.030       0.946       0.622      22.387       0.107       2.765      12.595        0.14      77771.    0.3237  
        9.89      0.2901      0.5252      0.0436      0.0241       0.029       0.923       0.584      21.851       0.104       2.596      12.114        0.14      77854.    0.3017  
       10.55      0.3094      0.5376      0.0407      0.0234       0.028       0.898       0.545      21.251       0.101       2.423      11.625        0.14      77940.    0.2797  
       11.21      0.3288      0.5465      0.0377      0.0227       0.028       0.870       0.505      20.585       0.098       2.245      11.123        0.14      78031.    0.2576  
       11.87      0.3481      0.5517      0.0347      0.0219       0.027       0.839       0.464      19.851       0.095       2.064      10.605        0.14      78124.    0.2355  
       12.53      0.3675      0.5527      0.0316      0.0210       0.026       0.805       0.423      19.046       0.091       1.880      10.065        0.14      78222.    0.2133  
       13.19      0.3868      0.5490      0.0284      0.0200       0.024       0.768       0.380      18.169       0.087       1.692       9.496        0.14      78323.    0.1909  
       13.85      0.4061      0.5396      0.0252      0.0190       0.023       0.728       0.337      17.220       0.082       1.501       8.890        0.14      78428.    0.1683  
       14.50      0.4255      0.5235      0.0220      0.0179       0.022       0.684       0.294      16.196       0.077       1.308       8.232        0.14      78537.    0.1455  
       15.16      0.4448      0.4990      0.0187      0.0166       0.020       0.638       0.250      15.098       0.072       1.111       7.507        0.14      78650.    0.1223  
       15.82      0.4642      0.4639      0.0153      0.0154       0.019       0.588       0.205      13.924       0.066       0.913       6.688        0.14      78767.    0.0988  
       16.48      0.4835      0.4146      0.0120      0.0140       0.017       0.536       0.160      12.676       0.061       0.713       5.737        0.14      78888.    0.0749  
       17.14      0.5028      0.3455      0.0086      0.0125       0.015       0.480       0.115      11.354       0.054       0.512       4.598        0.14      79012.    0.0508  
       17.80      0.5222      0.2476      0.0052      0.0110       0.013       0.421       0.070       9.959       0.048       0.310       3.173        0.14      79141.    0.0273  
       18.46      0.5415      0.1042      0.0018      0.0094       0.011       0.359       0.024       8.492       0.041       0.107       1.288        0.14      79272.    0.0065  
       19.12      0.5609                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0781      0.0256       0.105       2.205       2.351      78.251       0.249      10.457      13.627        0.21     115421.    0.6811  
        0.97      0.0191      0.0567      0.0764      0.0257       0.105       2.215       2.302      78.624       0.250      10.238      13.278        0.21     115481.    0.6567  
        1.95      0.0381      0.1105      0.0747      0.0258       0.106       2.223       2.250      78.910       0.251      10.007      12.931        0.21     115544.    0.6323  
        2.92      0.0572      0.1614      0.0729      0.0258       0.106       2.228       2.195      79.096       0.252       9.764      12.588        0.21     115611.    0.6080  
        3.90      0.0763      0.2094      0.0710      0.0259       0.106       2.231       2.138      79.171       0.252       9.510      12.249        0.21     115682.    0.5839  
        4.87      0.0953      0.2546      0.0690      0.0258       0.106       2.229       2.078      79.124       0.252       9.244      11.913        0.21     115757.    0.5598  
        5.85      0.1144      0.2970      0.0669      0.0258       0.106       2.224       2.016      78.945       0.251       8.966      11.581        0.21     115836.    0.5360  
        6.82      0.1334      0.3366      0.0648      0.0257       0.105       2.215       1.951      78.625       0.250       8.676      11.252        0.21     115920.    0.5123  
        7.80      0.1525      0.3736      0.0625      0.0255       0.105       2.202       1.883      78.154       0.249       8.375      10.927        0.21     116007.    0.4888  
        8.77      0.1716      0.4079      0.0602      0.0253       0.104       2.184       1.813      77.525       0.247       8.062      10.605        0.21     116100.    0.4654  
        9.75      0.1906      0.4395      0.0578      0.0251       0.103       2.162       1.740      76.728       0.244       7.739      10.285        0.21     116196.    0.4422  
       10.72      0.2097      0.4685      0.0553      0.0247       0.102       2.134       1.665      75.755       0.241       7.404       9.966        0.21     116298.    0.4192  
       11.70      0.2288      0.4949      0.0527      0.0244       0.100       2.102       1.587      74.598       0.237       7.059       9.649        0.21     116404.    0.3963  
       12.67      0.2478      0.5185      0.0501      0.0239       0.098       2.064       1.507      73.250       0.233       6.704       9.333        0.21     116516.    0.3735  
       13.65      0.2669      0.5394      0.0473      0.0234       0.096       2.020       1.425      71.701       0.228       6.339       9.016        0.21     116632.    0.3509  
       14.62      0.2860      0.5575      0.0445      0.0228       0.094       1.971       1.341      69.944       0.223       5.965       8.696        0.22     116753.    0.3283  
       15.60      0.3050      0.5726      0.0417      0.0222       0.091       1.915       1.255      67.973       0.216       5.582       8.373        0.22     116880.    0.3058  
       16.57      0.3241      0.5845      0.0387      0.0215       0.088       1.853       1.167      65.779       0.209       5.189       8.045        0.22     117012.    0.2833  
       17.55      0.3431      0.5930      0.0358      0.0207       0.085       1.785       1.077      63.355       0.202       4.789       7.708        0.22     117149.    0.2607  
       18.52      0.3622      0.5976      0.0327      0.0198       0.081       1.710       0.985      60.696       0.193       4.381       7.360        0.22     117292.    0.2381  
       19.50      0.3813      0.5980      0.0296      0.0189       0.078       1.628       0.891      57.797       0.184       3.965       6.996        0.22     117440.    0.2153  
       20.47      0.4003      0.5933      0.0265      0.0179       0.073       1.540       0.797      54.651       0.174       3.543       6.611        0.22     117594.    0.1923  
       21.45      0.4194      0.5825      0.0233      0.0167       0.069       1.444       0.700      51.257       0.163       3.114       6.196        0.22     117753.    0.1690  
       22.42      0.4385      0.5642      0.0200      0.0156       0.064       1.341       0.603      47.610       0.152       2.680       5.740        0.22     117919.    0.1453  
       23.40      0.4575      0.5362      0.0167      0.0143       0.059       1.231       0.504      43.710       0.139       2.241       5.228        0.22     118089.    0.1210  
       24.37      0.4766      0.4952      0.0134      0.0129       0.053       1.115       0.404      39.558       0.126       1.798       4.635        0.22     118266.    0.0961  
       25.35      0.4956      0.4356      0.0101      0.0115       0.047       0.990       0.304      35.154       0.112       1.352       3.921        0.22     118448.    0.0705  
       26.32      0.5147      0.3484      0.0067      0.0100       0.041       0.859       0.203      30.504       0.097       0.903       3.019        0.22     118636.    0.0444  
       27.30      0.5338      0.2161      0.0034      0.0084       0.034       0.722       0.102      25.611       0.082       0.454       1.806        0.22     118829.    0.0188  
       28.27      0.5528     -0.0008      0.0000      0.0067       0.027       0.575       0.000      20.419       0.065      -0.001      -0.006        0.22     119011.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0786      0.0248       0.242       3.810       4.206     180.311       0.430      18.707      10.579        0.29     153890.    0.7072  
        1.31      0.0193      0.0593      0.0769      0.0250       0.243       3.830       4.117     181.239       0.433      18.311      10.302        0.29     153971.    0.6814  
        2.63      0.0385      0.1155      0.0752      0.0251       0.244       3.845       4.023     181.952       0.434      17.894      10.029        0.29     154056.    0.6557  
        3.94      0.0578      0.1686      0.0733      0.0251       0.245       3.855       3.925     182.420       0.435      17.456       9.758        0.29     154147.    0.6302  
        5.25      0.0771      0.2186      0.0714      0.0252       0.245       3.859       3.821     182.616       0.436      16.997       9.491        0.29     154243.    0.6048  
        6.57      0.0963      0.2657      0.0694      0.0252       0.245       3.857       3.713     182.510       0.436      16.516       9.228        0.29     154345.    0.5796  
        7.88      0.1156      0.3099      0.0673      0.0251       0.244       3.847       3.600     182.077       0.435      16.013       8.968        0.29     154452.    0.5547  
        9.20      0.1349      0.3512      0.0651      0.0250       0.243       3.831       3.482     181.295       0.433      15.488       8.712        0.29     154565.    0.5299  
       10.51      0.1541      0.3897      0.0628      0.0248       0.242       3.806       3.359     180.141       0.430      14.943       8.459        0.29     154684.    0.5054  
       11.82      0.1734      0.4254      0.0604      0.0246       0.239       3.774       3.232     178.593       0.426      14.376       8.209        0.29     154809.    0.4811  
       13.14      0.1927      0.4585      0.0579      0.0243       0.237       3.732       3.100     176.632       0.422      13.790       7.961        0.29     154940.    0.4570  
       14.45      0.2119      0.4888      0.0554      0.0240       0.234       3.682       2.964     174.235       0.416      13.184       7.716        0.29     155078.    0.4331  
       15.76      0.2312      0.5164      0.0528      0.0236       0.230       3.621       2.824     171.382       0.409      12.559       7.473        0.29     155222.    0.4093  
       17.08      0.2505      0.5413      0.0500      0.0232       0.225       3.551       2.679     168.053       0.401      11.916       7.230        0.29     155373.    0.3858  
       18.39      0.2697      0.5634      0.0473      0.0226       0.220       3.470       2.530     164.228       0.392      11.255       6.988        0.29     155531.    0.3624  
       19.70      0.2890      0.5827      0.0444      0.0220       0.214       3.379       2.378     159.889       0.382      10.577       6.745        0.29     155696.    0.3391  
       21.02      0.3083      0.5990      0.0415      0.0214       0.208       3.276       2.222     155.014       0.370       9.882       6.500        0.29     155868.    0.3158  
       22.33      0.3275      0.6121      0.0385      0.0206       0.201       3.161       2.062     149.588       0.357       9.171       6.252        0.29     156047.    0.2926  
       23.64      0.3468      0.6217      0.0355      0.0198       0.193       3.034       1.899     143.594       0.343       8.446       5.998        0.29     156234.    0.2694  
       24.96      0.3661      0.6275      0.0324      0.0189       0.184       2.895       1.733     137.016       0.327       7.706       5.735        0.29     156428.    0.2461  
       26.27      0.3853      0.6290      0.0292      0.0179       0.174       2.744       1.563     129.841       0.310       6.953       5.461        0.29     156629.    0.2226  
       27.59      0.4046      0.6252      0.0260      0.0168       0.164       2.579       1.391     122.058       0.291       6.188       5.170        0.29     156838.    0.1988  
       28.90      0.4239      0.6152      0.0227      0.0157       0.152       2.402       1.217     113.657       0.271       5.412       4.856        0.29     157055.    0.1746  
       30.21      0.4431      0.5971      0.0194      0.0144       0.140       2.211       1.040     104.633       0.250       4.626       4.508        0.29     157279.    0.1499  
       31.53      0.4624      0.5685      0.0161      0.0131       0.127       2.007       0.861      94.984       0.227       3.832       4.113        0.29     157512.    0.1245  
       32.84      0.4817      0.5251      0.0127      0.0117       0.114       1.790       0.681      84.712       0.202       3.030       3.647        0.29     157752.    0.0981  
       34.15      0.5009      0.4598      0.0093      0.0102       0.099       1.560       0.500      73.824       0.176       2.223       3.071        0.29     157999.    0.0708  
       35.47      0.5202      0.3594      0.0059      0.0086       0.084       1.317       0.318      62.330       0.149       1.413       2.312        0.29     158255.    0.0425  
       36.78      0.5395      0.1967      0.0025      0.0069       0.067       1.061       0.135      50.234       0.120       0.601       1.220        0.29     158515.    0.0146  
       38.09      0.5587                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0792      0.0245       0.466       5.868       6.623     347.147       0.663      29.458       8.653        0.36     192354.    0.7259  
        1.64      0.0193      0.0606      0.0775      0.0246       0.468       5.900       6.483     348.997       0.667      28.837       8.426        0.36     192455.    0.6993  
        3.28      0.0385      0.1180      0.0758      0.0247       0.470       5.924       6.336     350.420       0.669      28.183       8.201        0.36     192563.    0.6729  
        4.92      0.0578      0.1722      0.0739      0.0248       0.471       5.940       6.181     351.359       0.671      27.495       7.980        0.36     192676.    0.6467  
        6.56      0.0770      0.2233      0.0720      0.0248       0.472       5.946       6.019     351.756       0.672      26.774       7.762        0.36     192797.    0.6207  
        8.20      0.0963      0.2714      0.0699      0.0248       0.471       5.943       5.849     351.557       0.671      26.018       7.547        0.36     192924.    0.5950  
        9.84      0.1155      0.3166      0.0678      0.0247       0.470       5.929       5.672     350.711       0.670      25.228       7.335        0.36     193058.    0.5695  
       11.48      0.1348      0.3588      0.0656      0.0246       0.468       5.903       5.486     349.172       0.667      24.404       7.127        0.36     193200.    0.5442  
       13.13      0.1540      0.3983      0.0633      0.0245       0.465       5.864       5.294     346.895       0.663      23.547       6.922        0.36     193349.    0.5191  
       14.77      0.1733      0.4350      0.0609      0.0243       0.461       5.812       5.094     343.839       0.657      22.657       6.719        0.36     193505.    0.4944  
       16.41      0.1925      0.4689      0.0584      0.0240       0.456       5.747       4.887     339.962       0.649      21.736       6.520        0.36     193670.    0.4698  
       18.05      0.2118      0.5002      0.0559      0.0237       0.450       5.667       4.673     335.223       0.640      20.784       6.322        0.36     193842.    0.4455  
       19.69      0.2310      0.5288      0.0532      0.0233       0.442       5.571       4.452     329.581       0.629      19.802       6.127        0.36     194023.    0.4214  
       21.33      0.2503      0.5547      0.0505      0.0228       0.433       5.460       4.225     322.996       0.617      18.792       5.933        0.36     194212.    0.3975  
       22.97      0.2695      0.5779      0.0477      0.0223       0.423       5.332       3.991     315.430       0.602      17.753       5.739        0.36     194409.    0.3738  
       24.61      0.2888      0.5983      0.0449      0.0216       0.411       5.187       3.752     306.843       0.586      16.687       5.545        0.36     194615.    0.3501  
       26.25      0.3080      0.6158      0.0419      0.0210       0.399       5.024       3.506     297.198       0.568      15.595       5.351        0.36     194830.    0.3266  
       27.89      0.3273      0.6302      0.0389      0.0202       0.384       4.842       3.255     286.461       0.547      14.478       5.154        0.36     195054.    0.3031  
       29.53      0.3465      0.6413      0.0359      0.0194       0.368       4.642       2.999     274.598       0.524      13.338       4.953        0.36     195287.    0.2796  
       31.17      0.3658      0.6487      0.0327      0.0185       0.351       4.422       2.737     261.580       0.500      12.176       4.747        0.36     195530.    0.2560  
       32.81      0.3850      0.6518      0.0295      0.0175       0.332       4.182       2.471     247.380       0.472      10.993       4.531        0.36     195781.    0.2322  
       34.45      0.4043      0.6500      0.0263      0.0164       0.311       3.921       2.201     231.974       0.443       9.790       4.304        0.36     196043.    0.2081  
       36.09      0.4235      0.6422      0.0230      0.0152       0.289       3.640       1.927     215.346       0.411       8.570       4.058        0.36     196313.    0.1836  
       37.74      0.4428      0.6265      0.0197      0.0139       0.265       3.338       1.649     197.485       0.377       7.335       3.787        0.36     196594.    0.1585  
       39.38      0.4620      0.6005      0.0164      0.0126       0.239       3.015       1.368     178.385       0.341       6.086       3.479        0.36     196883.    0.1326  
       41.02      0.4813      0.5598      0.0130      0.0112       0.212       2.672       1.085     158.050       0.302       4.826       3.113        0.36     197183.    0.1057  
       42.66      0.5005      0.4970      0.0096      0.0096       0.183       2.307       0.800     136.493       0.261       3.557       2.657        0.36     197492.    0.0775  
       44.30      0.5198      0.3975      0.0061      0.0080       0.153       1.923       0.513     113.737       0.217       2.283       2.047        0.36     197811.    0.0478  
       45.94      0.5390      0.2302      0.0027      0.0063       0.120       1.518       0.226      89.790       0.171       1.006       1.143        0.36     198137.    0.0177  
       47.58      0.5583                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       6000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0799      0.0244       0.800       8.408       9.629     596.839       0.950      42.828       7.317        0.43     230812.    0.7402  
        1.95      0.0191      0.0610      0.0783      0.0245       0.805       8.453       9.428     600.047       0.955      41.935       7.126        0.43     230933.    0.7133  
        3.91      0.0382      0.1189      0.0765      0.0246       0.808       8.488       9.216     602.517       0.959      40.993       6.938        0.43     231062.    0.6866  
        5.86      0.0573      0.1735      0.0747      0.0247       0.810       8.511       8.994     604.146       0.962      40.004       6.752        0.43     231198.    0.6601  
        7.82      0.0764      0.2251      0.0727      0.0247       0.811       8.520       8.760     604.840       0.963      38.967       6.569        0.43     231341.    0.6339  
        9.77      0.0955      0.2737      0.0707      0.0247       0.811       8.516       8.516     604.503       0.962      37.880       6.390        0.43     231493.    0.6079  
       11.72      0.1146      0.3193      0.0686      0.0246       0.809       8.495       8.261     603.047       0.960      36.744       6.213        0.43     231653.    0.5821  
       13.68      0.1337      0.3621      0.0664      0.0245       0.805       8.458       7.994     600.393       0.956      35.559       6.039        0.43     231822.    0.5566  
       15.63      0.1528      0.4022      0.0641      0.0244       0.800       8.402       7.717     596.465       0.949      34.326       5.868        0.43     232000.    0.5314  
       17.59      0.1720      0.4395      0.0617      0.0241       0.793       8.328       7.430     591.192       0.941      33.047       5.700        0.43     232186.    0.5065  
       19.54      0.1911      0.4741      0.0592      0.0239       0.784       8.234       7.132     584.502       0.930      31.723       5.534        0.43     232382.    0.4818  
       21.49      0.2102      0.5061      0.0567      0.0235       0.773       8.119       6.824     576.327       0.917      30.354       5.371        0.43     232587.    0.4573  
       23.45      0.2293      0.5354      0.0540      0.0231       0.760       7.982       6.507     566.596       0.902      28.942       5.209        0.43     232802.    0.4331  
       25.40      0.2484      0.5622      0.0513      0.0227       0.745       7.822       6.180     555.241       0.884      27.489       5.048        0.43     233027.    0.4091  
       27.36      0.2675      0.5863      0.0485      0.0221       0.727       7.638       5.844     542.195       0.863      25.995       4.889        0.43     233261.    0.3853  
       29.31      0.2866      0.6078      0.0457      0.0215       0.707       7.429       5.500     527.393       0.839      24.463       4.730        0.43     233506.    0.3616  
       31.26      0.3057      0.6264      0.0427      0.0209       0.685       7.195       5.147     510.772       0.813      22.893       4.570        0.43     233762.    0.3380  
       33.22      0.3248      0.6421      0.0397      0.0201       0.660       6.935       4.786     492.270       0.783      21.287       4.410        0.43     234027.    0.3145  
       35.17      0.3439      0.6547      0.0367      0.0193       0.633       6.647       4.417     471.831       0.751      19.648       4.246        0.43     234304.    0.2909  
       37.13      0.3630      0.6639      0.0336      0.0183       0.603       6.331       4.041     449.403       0.715      17.976       4.079        0.43     234591.    0.2673  
       39.08      0.3821      0.6691      0.0304      0.0174       0.570       5.986       3.659     424.940       0.676      16.274       3.905        0.43     234890.    0.2435  
       41.03      0.4012      0.6696      0.0271      0.0163       0.534       5.612       3.270     398.401       0.634      14.544       3.723        0.43     235199.    0.2194  
       42.99      0.4203      0.6646      0.0239      0.0151       0.496       5.209       2.875     369.755       0.588      12.788       3.527        0.43     235520.    0.1949  
       44.94      0.4394      0.6525      0.0206      0.0138       0.455       4.775       2.475     338.981       0.540      11.010       3.312        0.43     235852.    0.1698  
       46.90      0.4585      0.6309      0.0172      0.0125       0.410       4.312       2.071     306.069       0.487       9.211       3.069        0.43     236196.    0.1440  
       48.85      0.4776      0.5959      0.0138      0.0111       0.363       3.818       1.663     271.021       0.431       7.396       2.783        0.43     236551.    0.1170  
       50.80      0.4967      0.5407      0.0104      0.0095       0.314       3.294       1.252     233.859       0.372       5.568       2.428        0.43     236917.    0.0885  
