         8x10E                    (8x10E.dat)                                                                                                                                       
         v2025-1001                                                                                                                                                                 
         Simulation Date: 02/24/2026                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (True Air Speed in MPH)                                                                                                                                                 
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        5.63      0.7435      0.6117      0.1302      0.1582       0.000       0.026       0.017       0.311       0.003       0.076      24.771        0.03       9210.    0.2368  
        5.98      0.7900      0.6278      0.1234      0.1553       0.000       0.026       0.016       0.305       0.003       0.072      23.926        0.03       9267.    0.2227  
        6.34      0.8365      0.6411      0.1157      0.1509       0.000       0.025       0.015       0.297       0.003       0.067      23.077        0.03       9327.    0.2080  
        6.69      0.8829      0.6509      0.1072      0.1454       0.000       0.024       0.014       0.286       0.003       0.062      22.198        0.03       9389.    0.1926  
        7.04      0.9294      0.6564      0.0981      0.1388       0.000       0.023       0.013       0.273       0.003       0.057      21.266        0.03       9455.    0.1765  
        7.39      0.9759      0.6564      0.0884      0.1315       0.000       0.022       0.012       0.258       0.002       0.051      20.254        0.03       9522.    0.1596  
        7.75      1.0224      0.6494      0.0783      0.1233       0.000       0.020       0.010       0.243       0.002       0.045      19.125        0.03       9593.    0.1419  
        8.10      1.0688      0.6331      0.0679      0.1146       0.000       0.019       0.009       0.225       0.002       0.039      17.834        0.03       9665.    0.1231  
        8.45      1.1153      0.6046      0.0571      0.1053       0.000       0.017       0.007       0.207       0.002       0.033      16.323        0.03       9740.    0.1033  
        8.80      1.1618      0.5599      0.0460      0.0955       0.000       0.016       0.006       0.188       0.002       0.027      14.512        0.03       9817.    0.0825  
        9.15      1.2082      0.4928      0.0348      0.0853       0.000       0.014       0.005       0.168       0.002       0.020      12.280        0.03       9897.    0.0607  
        9.51      1.2547      0.3930      0.0234      0.0748       0.000       0.012       0.003       0.147       0.001       0.014       9.432        0.03       9978.    0.0382  
        9.86      1.3012      0.2432      0.0119      0.0639       0.000       0.011       0.002       0.126       0.001       0.007       5.629        0.03      10061.    0.0163  
       10.21      1.3476      0.0111      0.0004      0.0528       0.000       0.009       0.000       0.104       0.001       0.000       0.249        0.03      10146.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1559      0.1130       0.002       0.075       0.081       1.778       0.008       0.362      20.775        0.06      17408.    0.4348  
        0.71      0.0470      0.0638      0.1556      0.1146       0.002       0.076       0.081       1.802       0.009       0.361      20.452        0.06      17433.    0.4276  
        1.42      0.0940      0.1254      0.1553      0.1164       0.002       0.077       0.081       1.831       0.009       0.361      20.094        0.06      17462.    0.4197  
        2.14      0.1409      0.1844      0.1551      0.1185       0.003       0.079       0.081       1.865       0.009       0.360      19.701        0.06      17496.    0.4112  
        2.85      0.1879      0.2405      0.1549      0.1210       0.003       0.080       0.081       1.904       0.009       0.360      19.271        0.06      17534.    0.4020  
        3.56      0.2349      0.2934      0.1547      0.1238       0.003       0.082       0.081       1.948       0.009       0.359      18.806        0.06      17577.    0.3920  
        4.27      0.2819      0.3428      0.1544      0.1270       0.003       0.084       0.081       1.997       0.010       0.359      18.310        0.06      17625.    0.3813  
        4.98      0.3288      0.3885      0.1540      0.1304       0.003       0.087       0.080       2.051       0.010       0.358      17.788        0.06      17679.    0.3700  
        5.69      0.3758      0.4306      0.1535      0.1340       0.003       0.089       0.080       2.108       0.010       0.357      17.250        0.06      17739.    0.3582  
        6.41      0.4228      0.4691      0.1528      0.1378       0.003       0.092       0.080       2.167       0.010       0.355      16.703        0.06      17804.    0.3461  
        7.12      0.4698      0.5040      0.1518      0.1415       0.003       0.094       0.079       2.226       0.011       0.353      16.151        0.06      17876.    0.3335  
        7.83      0.5167      0.5355      0.1503      0.1451       0.003       0.096       0.079       2.282       0.011       0.349      15.603        0.06      17953.    0.3206  
        8.54      0.5637      0.5639      0.1482      0.1482       0.003       0.099       0.077       2.331       0.011       0.344      15.060        0.06      18038.    0.3073  
        9.25      0.6107      0.5894      0.1454      0.1506       0.003       0.100       0.076       2.370       0.011       0.338      14.529        0.06      18128.    0.2936  
        9.96      0.6577      0.6123      0.1416      0.1521       0.003       0.101       0.074       2.392       0.011       0.329      14.017        0.06      18225.    0.2795  
       10.68      0.7046      0.6331      0.1367      0.1522       0.003       0.101       0.071       2.394       0.011       0.318      13.526        0.07      18329.    0.2651  
       11.39      0.7516      0.6517      0.1307      0.1508       0.003       0.100       0.068       2.372       0.011       0.304      13.055        0.07      18439.    0.2502  
       12.10      0.7986      0.6683      0.1237      0.1478       0.003       0.098       0.065       2.325       0.011       0.287      12.598        0.07      18555.    0.2348  
       12.81      0.8456      0.6822      0.1157      0.1435       0.003       0.095       0.060       2.257       0.011       0.269      12.146        0.07      18677.    0.2190  
       13.52      0.8925      0.6929      0.1070      0.1379       0.003       0.092       0.056       2.169       0.010       0.249      11.687        0.07      18805.    0.2026  
       14.23      0.9395      0.6996      0.0977      0.1312       0.003       0.087       0.051       2.064       0.010       0.227      11.210        0.07      18938.    0.1857  
       14.95      0.9865      0.7012      0.0879      0.1237       0.003       0.082       0.046       1.945       0.009       0.204      10.701        0.07      19076.    0.1681  
       15.66      1.0335      0.6962      0.0777      0.1153       0.002       0.077       0.041       1.814       0.009       0.180      10.142        0.07      19220.    0.1498  
       16.37      1.0804      0.6824      0.0671      0.1063       0.002       0.071       0.035       1.672       0.008       0.156       9.509        0.07      19368.    0.1306  
       17.08      1.1274      0.6568      0.0563      0.0966       0.002       0.064       0.029       1.520       0.007       0.131       8.770        0.07      19520.    0.1103  
       17.79      1.1744      0.6148      0.0452      0.0864       0.002       0.057       0.024       1.359       0.006       0.105       7.882        0.07      19677.    0.0888  
       18.51      1.2214      0.5491      0.0340      0.0757       0.002       0.050       0.018       1.191       0.006       0.079       6.769        0.07      19839.    0.0662  
       19.22      1.2683      0.4465      0.0227      0.0646       0.001       0.043       0.012       1.016       0.005       0.053       5.300        0.07      20004.    0.0424  
       19.93      1.3153      0.2820      0.0114      0.0531       0.001       0.035       0.006       0.835       0.004       0.026       3.228        0.07      20174.    0.0183  
       20.64      1.3623      0.0013      0.0000      0.0413       0.001       0.027       0.000       0.650       0.003       0.000       0.015        0.07      20347.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1563      0.1090       0.008       0.163       0.184       5.786       0.018       0.817      14.393        0.10      26111.    0.4523  
        1.07      0.0472      0.0666      0.1560      0.1105       0.008       0.165       0.183       5.869       0.019       0.815      14.163        0.10      26150.    0.4447  
        2.15      0.0944      0.1308      0.1557      0.1124       0.008       0.168       0.183       5.967       0.019       0.814      13.906        0.10      26194.    0.4363  
        3.22      0.1416      0.1922      0.1555      0.1146       0.008       0.171       0.183       6.083       0.019       0.813      13.624        0.10      26244.    0.4272  
        4.29      0.1888      0.2505      0.1554      0.1171       0.008       0.175       0.183       6.217       0.020       0.812      13.317        0.10      26302.    0.4173  
        5.36      0.2360      0.3053      0.1552      0.1200       0.009       0.179       0.182       6.369       0.020       0.811      12.984        0.10      26367.    0.4066  
        6.44      0.2832      0.3563      0.1549      0.1231       0.009       0.184       0.182       6.537       0.021       0.810      12.629        0.10      26440.    0.3952  
        7.51      0.3304      0.4034      0.1546      0.1266       0.009       0.189       0.182       6.721       0.021       0.808      12.257        0.10      26521.    0.3831  
        8.58      0.3775      0.4466      0.1541      0.1303       0.009       0.195       0.181       6.917       0.022       0.805      11.873        0.10      26611.    0.3706  
        9.65      0.4247      0.4860      0.1535      0.1341       0.010       0.201       0.180       7.120       0.023       0.802      11.484        0.10      26710.    0.3576  
       10.73      0.4719      0.5216      0.1524      0.1379       0.010       0.206       0.179       7.323       0.023       0.797      11.092        0.10      26819.    0.3443  
       11.80      0.5191      0.5536      0.1510      0.1416       0.010       0.212       0.177       7.516       0.024       0.789      10.703        0.10      26936.    0.3306  
       12.87      0.5663      0.5823      0.1489      0.1448       0.010       0.217       0.175       7.687       0.024       0.778      10.319        0.10      27064.    0.3165  
       13.94      0.6135      0.6080      0.1460      0.1473       0.010       0.220       0.171       7.820       0.025       0.763       9.946        0.10      27201.    0.3021  
       15.02      0.6607      0.6311      0.1421      0.1488       0.011       0.223       0.167       7.899       0.025       0.743       9.587        0.10      27347.    0.2873  
       16.09      0.7079      0.6519      0.1372      0.1489       0.011       0.223       0.161       7.907       0.025       0.717       9.243        0.10      27504.    0.2721  
       17.16      0.7551      0.6708      0.1311      0.1475       0.011       0.221       0.154       7.833       0.025       0.685       8.916        0.10      27671.    0.2566  
       18.23      0.8023      0.6875      0.1239      0.1446       0.010       0.216       0.146       7.677       0.024       0.648       8.601        0.10      27847.    0.2407  
       19.31      0.8495      0.7018      0.1159      0.1402       0.010       0.210       0.136       7.445       0.024       0.605       8.292        0.10      28031.    0.2244  
       20.38      0.8967      0.7130      0.1071      0.1346       0.010       0.201       0.126       7.147       0.023       0.559       7.981        0.10      28225.    0.2076  
       21.45      0.9439      0.7205      0.0976      0.1279       0.009       0.191       0.115       6.792       0.022       0.510       7.661        0.10      28426.    0.1903  
       22.52      0.9911      0.7232      0.0878      0.1203       0.009       0.180       0.103       6.387       0.020       0.459       7.324        0.10      28635.    0.1725  
       23.60      1.0382      0.7196      0.0775      0.1118       0.008       0.167       0.091       5.938       0.019       0.405       6.956        0.10      28852.    0.1540  
       24.67      1.0854      0.7076      0.0669      0.1026       0.007       0.154       0.079       5.450       0.017       0.350       6.543        0.10      29075.    0.1346  
       25.74      1.1326      0.6842      0.0561      0.0928       0.007       0.139       0.066       4.926       0.016       0.293       6.063        0.10      29306.    0.1141  
       26.81      1.1798      0.6447      0.0450      0.0824       0.006       0.123       0.053       4.372       0.014       0.235       5.485        0.10      29543.    0.0925  
       27.89      1.2270      0.5813      0.0338      0.0714       0.005       0.107       0.040       3.791       0.012       0.177       4.755        0.10      29787.    0.0695  
       28.96      1.2742      0.4793      0.0226      0.0600       0.004       0.090       0.027       3.186       0.010       0.118       3.775        0.10      30038.    0.0451  
       30.03      1.3214      0.3092      0.0113      0.0482       0.003       0.072       0.013       2.560       0.008       0.059       2.348        0.10      30294.    0.0198  
       31.10      1.3686      0.0008      0.0000      0.0361       0.003       0.054       0.000       1.918       0.006       0.000       0.006        0.10      30556.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1565      0.1066       0.018       0.283       0.327      13.416       0.032       1.454      11.050        0.13      34815.    0.4633  
        1.43      0.0473      0.0683      0.1562      0.1082       0.018       0.288       0.326      13.614       0.033       1.451      10.870        0.13      34866.    0.4554  
        2.87      0.0947      0.1342      0.1560      0.1101       0.019       0.293       0.326      13.849       0.033       1.449      10.669        0.13      34925.    0.4467  
        4.30      0.1420      0.1971      0.1558      0.1123       0.019       0.298       0.325      14.126       0.034       1.447      10.448        0.13      34993.    0.4372  
        5.74      0.1893      0.2567      0.1557      0.1148       0.019       0.305       0.325      14.446       0.034       1.446      10.207        0.13      35070.    0.4269  
        7.17      0.2366      0.3127      0.1555      0.1177       0.020       0.313       0.325      14.808       0.035       1.444       9.947        0.13      35157.    0.4158  
        8.61      0.2840      0.3648      0.1553      0.1209       0.020       0.321       0.324      15.212       0.036       1.442       9.669        0.13      35255.    0.4039  
       10.04      0.3313      0.4128      0.1550      0.1244       0.021       0.331       0.324      15.652       0.037       1.440       9.378        0.13      35364.    0.3913  
       11.47      0.3786      0.4566      0.1545      0.1281       0.022       0.341       0.323      16.121       0.038       1.435       9.079        0.13      35484.    0.3782  
       12.91      0.4260      0.4965      0.1538      0.1320       0.022       0.351       0.321      16.609       0.040       1.429       8.775        0.13      35617.    0.3648  
       14.34      0.4733      0.5325      0.1529      0.1359       0.023       0.361       0.319      17.097       0.041       1.420       8.469        0.13      35762.    0.3510  
       15.78      0.5206      0.5648      0.1514      0.1395       0.024       0.371       0.316      17.561       0.042       1.406       8.167        0.13      35920.    0.3368  
       17.21      0.5679      0.5937      0.1493      0.1428       0.024       0.380       0.312      17.972       0.043       1.387       7.869        0.13      36091.    0.3223  
       18.64      0.6153      0.6195      0.1464      0.1454       0.025       0.387       0.306      18.293       0.044       1.360       7.579        0.13      36274.    0.3074  
       20.08      0.6626      0.6427      0.1425      0.1469       0.025       0.391       0.298      18.486       0.044       1.324       7.301        0.13      36471.    0.2921  
       21.51      0.7099      0.6636      0.1375      0.1471       0.025       0.391       0.287      18.508       0.044       1.277       7.037        0.13      36681.    0.2766  
       22.95      0.7573      0.6826      0.1313      0.1457       0.025       0.387       0.274      18.336       0.044       1.220       6.785        0.13      36905.    0.2606  
       24.38      0.8046      0.6995      0.1241      0.1428       0.024       0.380       0.259      17.966       0.043       1.153       6.544        0.13      37140.    0.2444  
       25.82      0.8519      0.7140      0.1160      0.1384       0.023       0.368       0.242      17.416       0.042       1.077       6.309        0.13      37388.    0.2277  
       27.25      0.8992      0.7256      0.1071      0.1328       0.022       0.353       0.224      16.707       0.040       0.995       6.074        0.13      37647.    0.2107  
       28.68      0.9466      0.7336      0.0977      0.1260       0.021       0.335       0.204      15.860       0.038       0.907       5.834        0.13      37917.    0.1932  
       30.12      0.9939      0.7370      0.0878      0.1183       0.020       0.315       0.183      14.892       0.036       0.815       5.582        0.13      38197.    0.1753  
       31.55      1.0412      0.7344      0.0774      0.1098       0.019       0.292       0.162      13.818       0.033       0.719       5.310        0.13      38487.    0.1566  
       32.99      1.0885      0.7238      0.0668      0.1005       0.017       0.267       0.140      12.648       0.030       0.621       5.005        0.13      38787.    0.1371  
       34.42      1.1359      0.7020      0.0559      0.0905       0.015       0.241       0.117      11.392       0.027       0.520       4.652        0.13      39096.    0.1166  
       35.85      1.1832      0.6645      0.0449      0.0799       0.013       0.213       0.094      10.060       0.024       0.417       4.228        0.14      39414.    0.0949  
       37.29      1.2305      0.6030      0.0337      0.0688       0.012       0.183       0.070       8.661       0.021       0.313       3.689        0.14      39741.    0.0718  
       38.72      1.2779      0.5021      0.0225      0.0572       0.010       0.152       0.047       7.203       0.017       0.209       2.957        0.14      40076.    0.0470  
       40.16      1.3252      0.3289      0.0112      0.0452       0.008       0.120       0.023       5.694       0.014       0.104       1.868        0.14      40420.    0.0210  
       41.59      1.3725      0.0005      0.0000      0.0329       0.006       0.088       0.000       4.145       0.010       0.000       0.003        0.14      40770.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1566      0.1050       0.035       0.436       0.511      25.814       0.049       2.274       8.982        0.16      43519.    0.4710  
        1.80      0.0474      0.0696      0.1564      0.1066       0.035       0.443       0.510      26.202       0.050       2.270       8.834        0.16      43583.    0.4628  
        3.59      0.0948      0.1365      0.1562      0.1085       0.036       0.451       0.510      26.664       0.051       2.267       8.669        0.16      43656.    0.4539  
        5.39      0.1423      0.2005      0.1560      0.1107       0.036       0.460       0.509      27.208       0.052       2.264       8.487        0.16      43741.    0.4441  
        7.19      0.1897      0.2611      0.1559      0.1133       0.037       0.471       0.509      27.836       0.053       2.262       8.288        0.16      43838.    0.4336  
        8.98      0.2371      0.3179      0.1557      0.1161       0.038       0.483       0.508      28.548       0.055       2.260       8.074        0.16      43948.    0.4221  
       10.78      0.2845      0.3707      0.1555      0.1194       0.039       0.496       0.507      29.341       0.056       2.257       7.845        0.16      44070.    0.4099  
       12.57      0.3320      0.4193      0.1552      0.1229       0.041       0.511       0.507      30.206       0.058       2.253       7.606        0.16      44207.    0.3970  
       14.37      0.3794      0.4637      0.1548      0.1267       0.042       0.526       0.505      31.130       0.059       2.247       7.359        0.16      44358.    0.3836  
       16.17      0.4268      0.5039      0.1542      0.1306       0.043       0.542       0.503      32.092       0.061       2.238       7.110        0.16      44524.    0.3699  
       17.96      0.4742      0.5402      0.1532      0.1345       0.044       0.559       0.500      33.054       0.063       2.223       6.859        0.16      44706.    0.3557  
       19.76      0.5217      0.5727      0.1517      0.1382       0.046       0.574       0.495      33.972       0.065       2.202       6.611        0.16      44904.    0.3412  
       21.56      0.5691      0.6016      0.1496      0.1415       0.047       0.588       0.488      34.785       0.066       2.172       6.367        0.16      45118.    0.3263  
       23.35      0.6165      0.6275      0.1467      0.1441       0.048       0.599       0.479      35.423       0.068       2.129       6.130        0.16      45349.    0.3111  
       25.15      0.6639      0.6508      0.1428      0.1457       0.048       0.605       0.466      35.808       0.068       2.073       5.903        0.16      45596.    0.2955  
       26.95      0.7114      0.6718      0.1378      0.1459       0.048       0.606       0.450      35.858       0.068       2.000       5.687        0.16      45860.    0.2797  
       28.74      0.7588      0.6908      0.1316      0.1445       0.048       0.601       0.429      35.525       0.068       1.910       5.482        0.16      46140.    0.2635  
       30.54      0.8062      0.7078      0.1243      0.1416       0.047       0.588       0.406      34.805       0.066       1.804       5.287        0.16      46436.    0.2470  
       32.33      0.8536      0.7225      0.1161      0.1372       0.045       0.570       0.379      33.729       0.064       1.686       5.097        0.16      46746.    0.2301  
       34.13      0.9010      0.7344      0.1072      0.1316       0.043       0.547       0.350      32.339       0.062       1.556       4.908        0.17      47071.    0.2129  
       35.93      0.9485      0.7428      0.0977      0.1248       0.041       0.519       0.319      30.676       0.059       1.419       4.716        0.17      47410.    0.1953  
       37.72      0.9959      0.7468      0.0878      0.1171       0.039       0.486       0.286      28.775       0.055       1.274       4.516        0.17      47761.    0.1773  
       39.52      1.0433      0.7450      0.0775      0.1085       0.036       0.451       0.253      26.661       0.051       1.124       4.300        0.17      48125.    0.1586  
       41.32      1.0907      0.7354      0.0668      0.0991       0.033       0.412       0.218      24.355       0.047       0.970       4.060        0.17      48501.    0.1390  
       43.11      1.1382      0.7150      0.0559      0.0890       0.029       0.370       0.182      21.877       0.042       0.812       3.783        0.17      48889.    0.1185  
       44.91      1.1856      0.6790      0.0449      0.0783       0.026       0.325       0.146      19.248       0.037       0.651       3.449        0.17      49288.    0.0968  
       46.71      1.2330      0.6192      0.0337      0.0671       0.022       0.279       0.110      16.484       0.031       0.489       3.024        0.17      49698.    0.0735  
       48.50      1.2804      0.5194      0.0224      0.0553       0.018       0.230       0.073      13.601       0.026       0.326       2.443        0.17      50119.    0.0485  
       50.30      1.3279      0.3444      0.0112      0.0432       0.014       0.179       0.037      10.617       0.020       0.163       1.562        0.17      50549.    0.0219  
       52.09      1.3753      0.0003      0.0000      0.0307       0.010       0.128       0.000       7.552       0.014       0.000       0.001        0.17      50988.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       6000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1568      0.1039       0.059       0.622       0.737      44.128       0.070       3.277       7.572        0.19      52222.    0.4767  
        2.16      0.0475      0.0705      0.1565      0.1055       0.060       0.631       0.735      44.801       0.071       3.271       7.446        0.19      52299.    0.4683  
        4.32      0.0950      0.1383      0.1563      0.1074       0.061       0.642       0.735      45.601       0.073       3.267       7.306        0.19      52388.    0.4592  
        6.48      0.1425      0.2030      0.1562      0.1096       0.062       0.656       0.734      46.543       0.074       3.264       7.151        0.19      52490.    0.4493  
        8.64      0.1900      0.2643      0.1560      0.1121       0.064       0.671       0.733      47.633       0.076       3.261       6.982        0.19      52606.    0.4385  
       10.79      0.2375      0.3218      0.1559      0.1151       0.066       0.688       0.733      48.868       0.078       3.259       6.800        0.19      52738.    0.4269  
       12.95      0.2850      0.3751      0.1557      0.1183       0.067       0.708       0.732      50.245       0.080       3.255       6.605        0.19      52885.    0.4144  
       15.11      0.3325      0.4241      0.1554      0.1218       0.069       0.729       0.730      51.749       0.082       3.249       6.402        0.19      53050.    0.4013  
       17.27      0.3800      0.4689      0.1550      0.1256       0.072       0.752       0.728      53.357       0.085       3.240       6.192        0.19      53231.    0.3876  
       19.43      0.4275      0.5094      0.1544      0.1296       0.074       0.775       0.726      55.031       0.088       3.227       5.980        0.19      53432.    0.3736  
       21.59      0.4750      0.5459      0.1535      0.1335       0.076       0.799       0.721      56.709       0.090       3.207       5.767        0.19      53651.    0.3592  
       23.75      0.5225      0.5785      0.1520      0.1373       0.078       0.821       0.714      58.311       0.093       3.177       5.557        0.19      53889.    0.3445  
       25.91      0.5699      0.6076      0.1499      0.1406       0.080       0.841       0.705      59.733       0.095       3.134       5.350        0.19      54146.    0.3293  
       28.07      0.6174      0.6335      0.1470      0.1433       0.082       0.857       0.691      60.853       0.097       3.073       5.149        0.19      54424.    0.3139  
       30.22      0.6649      0.6568      0.1431      0.1449       0.083       0.867       0.672      61.531       0.098       2.991       4.957        0.19      54721.    0.2981  
       32.38      0.7124      0.6778      0.1380      0.1451       0.083       0.868       0.649      61.630       0.098       2.885       4.774        0.20      55038.    0.2820  
       34.54      0.7599      0.6968      0.1318      0.1438       0.082       0.860       0.619      61.061       0.097       2.756       4.602        0.20      55375.    0.2657  
       36.70      0.8074      0.7139      0.1245      0.1408       0.080       0.843       0.585      59.820       0.095       2.603       4.437        0.20      55732.    0.2490  
       38.86      0.8549      0.7288      0.1163      0.1365       0.078       0.816       0.547      57.960       0.092       2.432       4.278        0.20      56106.    0.2320  
       41.02      0.9024      0.7409      0.1074      0.1308       0.074       0.783       0.505      55.551       0.088       2.245       4.120        0.20      56497.    0.2147  
       43.18      0.9499      0.7497      0.0979      0.1240       0.071       0.742       0.460      52.665       0.084       2.046       3.961        0.20      56904.    0.1970  
       45.34      0.9974      0.7542      0.0879      0.1162       0.066       0.695       0.413      49.361       0.079       1.837       3.795        0.20      57327.    0.1789  
       47.50      1.0449      0.7531      0.0775      0.1076       0.061       0.644       0.364      45.683       0.073       1.620       3.617        0.20      57765.    0.1601  
       49.65      1.0924      0.7443      0.0668      0.0981       0.056       0.587       0.314      41.668       0.066       1.397       3.419        0.20      58217.    0.1406  
       51.81      1.1399      0.7250      0.0559      0.0879       0.050       0.526       0.263      37.352       0.059       1.169       3.192        0.20      58684.    0.1200  
